step	action	robot0_eef_pos	Can_pos	Can_to_robot0_eef_pos
98	[0.2, 0.19, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.16, 0.38, 0.88]	[0.18, 0.37, 0.86]	[0.01, 0.01, 0.02]
99	[0.2, 0.18, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.16, 0.38, 0.88]	[0.18, 0.37, 0.86]	[0.01, 0.01, 0.02]
100	[0.2, 0.18, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.16, 0.38, 0.87]	[0.18, 0.37, 0.86]	[0.01, 0.01, 0.02]
101	[0.19, 0.18, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.16, 0.38, 0.87]	[0.18, 0.37, 0.86]	[0.01, 0.01, 0.02]
102	[0.19, 0.18, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.16, 0.38, 0.87]	[0.18, 0.37, 0.86]	[0.01, 0.01, 0.02]
103	[0.19, 0.18, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.16, 0.38, 0.87]	[0.18, 0.37, 0.86]	[0.01, 0.01, 0.02]
104	[0.19, 0.18, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.16, 0.38, 0.87]	[0.18, 0.37, 0.86]	[0.01, 0.01, 0.02]
105	[0.19, 0.18, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.16, 0.38, 0.88]	[0.18, 0.38, 0.86]	[0.01, 0.01, 0.02]
106	[0.19, 0.17, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.16, 0.38, 0.87]	[0.18, 0.38, 0.86]	[0.01, 0.01, 0.02]
107	[0.19, 0.17, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.16, 0.38, 0.87]	[0.18, 0.38, 0.86]	[0.01, 0.01, 0.02]
108	[0.19, 0.17, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.16, 0.38, 0.87]	[0.18, 0.38, 0.86]	[0.01, 0.01, 0.02]
109	[0.19, 0.17, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.16, 0.38, 0.87]	[0.18, 0.38, 0.86]	[0.01, 0.0, 0.02]
110	[0.18, 0.17, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.16, 0.38, 0.87]	[0.18, 0.38, 0.86]	[0.01, 0.0, 0.02]
111	[0.18, 0.16, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.16, 0.38, 0.87]	[0.18, 0.38, 0.86]	[0.01, 0.0, 0.02]
112	[0.18, 0.16, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.16, 0.38, 0.87]	[0.18, 0.38, 0.86]	[0.01, 0.0, 0.02]
113	[0.18, 0.16, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.16, 0.38, 0.87]	[0.18, 0.38, 0.86]	[0.01, 0.0, 0.02]
114	[0.18, 0.16, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.16, 0.38, 0.87]	[0.18, 0.38, 0.86]	[0.01, 0.01, 0.02]
115	[0.18, 0.16, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.16, 0.38, 0.87]	[0.18, 0.38, 0.86]	[0.02, 0.01, 0.02]
116	[0.18, 0.16, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.16, 0.38, 0.87]	[0.18, 0.38, 0.86]	[0.02, 0.01, 0.02]
117	[0.18, 0.16, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.16, 0.38, 0.87]	[0.18, 0.38, 0.86]	[0.02, 0.0, 0.02]
118	[0.18, 0.16, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.16, 0.38, 0.87]	[0.18, 0.38, 0.86]	[0.02, 0.0, 0.02]
119	[0.17, 0.16, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.16, 0.38, 0.87]	[0.18, 0.38, 0.86]	[0.02, 0.0, 0.02]
