step	action	robot0_eef_pos	cubeA_pos	cubeB_pos	gripper_to_cubeA	gripper_to_cubeB	cubeA_to_cubeB
39	[0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 1.0]	[0.07, -0.05, 0.9]	[0.07, -0.05, 0.89]	[-0.05, -0.01, 0.82]	[0.0, -0.0, -0.01]	[-0.12, 0.04, -0.08]	[-0.12, 0.04, -0.07]
40	[-1.22, 0.41, 2.5, 0.0, 0.0, 0.0, 1.0]	[0.06, -0.05, 0.92]	[0.06, -0.05, 0.91]	[-0.05, -0.01, 0.82]	[0.0, -0.0, -0.01]	[-0.11, 0.04, -0.09]	[-0.11, 0.04, -0.08]
41	[-1.08, 0.36, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.04, -0.04, 0.93]	[0.04, -0.04, 0.92]	[-0.05, -0.01, 0.82]	[0.0, -0.0, -0.01]	[-0.09, 0.03, -0.1]	[-0.09, 0.03, -0.09]
42	[-0.89, 0.29, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.02, -0.04, 0.93]	[0.02, -0.04, 0.92]	[-0.05, -0.01, 0.82]	[0.0, -0.0, -0.01]	[-0.07, 0.02, -0.11]	[-0.07, 0.02, -0.1]
43	[-0.7, 0.23, 0.0, 0.0, 0.0, 0.0, 1.0]	[0.0, -0.03, 0.93]	[0.01, -0.03, 0.92]	[-0.05, -0.01, 0.82]	[0.0, -0.0, -0.01]	[-0.05, 0.02, -0.11]	[-0.05, 0.02, -0.1]
44	[-0.53, 0.17, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.01, -0.03, 0.93]	[-0.01, -0.03, 0.92]	[-0.05, -0.01, 0.82]	[0.0, -0.0, -0.01]	[-0.04, 0.01, -0.11]	[-0.04, 0.01, -0.09]
45	[-0.38, 0.13, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.02, -0.02, 0.93]	[-0.02, -0.02, 0.92]	[-0.05, -0.01, 0.82]	[0.0, -0.0, -0.01]	[-0.02, 0.01, -0.1]	[-0.03, 0.01, -0.09]
46	[-0.26, 0.09, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.03, -0.02, 0.93]	[-0.03, -0.02, 0.92]	[-0.05, -0.01, 0.82]	[0.0, -0.0, -0.01]	[-0.02, 0.01, -0.1]	[-0.02, 0.01, -0.09]
47	[-0.17, 0.06, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.04, -0.02, 0.93]	[-0.04, -0.02, 0.92]	[-0.05, -0.01, 0.82]	[0.0, -0.0, -0.01]	[-0.01, 0.0, -0.1]	[-0.01, 0.0, -0.09]
48	[-0.11, 0.04, 0.0, 0.0, 0.0, 0.0, 1.0]	[-0.04, -0.02, 0.93]	[-0.04, -0.02, 0.91]	[-0.05, -0.01, 0.82]	[0.0, -0.0, -0.01]	[-0.0, 0.0, -0.1]	[-0.01, 0.0, -0.09]
49	[-0.07, 0.03, -0.4, 0.0, 0.0, 0.0, 1.0]	[-0.04, -0.01, 0.92]	[-0.04, -0.01, 0.91]	[-0.05, -0.01, 0.82]	[0.0, -0.0, -0.01]	[-0.0, 0.0, -0.09]	[-0.0, 0.0, -0.08]
50	[-0.05, 0.02, -0.33, 0.0, 0.0, 0.0, 1.0]	[-0.04, -0.01, 0.91]	[-0.04, -0.01, 0.9]	[-0.05, -0.01, 0.82]	[0.0, -0.0, -0.01]	[-0.0, 0.0, -0.09]	[-0.0, 0.0, -0.07]
51	[-0.04, 0.01, -0.25, 0.0, 0.0, 0.0, 1.0]	[-0.05, -0.01, 0.9]	[-0.04, -0.01, 0.89]	[-0.05, -0.01, 0.82]	[0.0, -0.0, -0.01]	[-0.0, 0.0, -0.08]	[-0.0, 0.0, -0.07]
52	[-0.03, 0.01, -0.19, 0.0, 0.0, 0.0, 1.0]	[-0.05, -0.01, 0.9]	[-0.04, -0.01, 0.89]	[-0.05, -0.01, 0.82]	[0.0, 0.0, -0.01]	[-0.0, 0.0, -0.07]	[-0.0, 0.0, -0.06]
53	[-0.02, 0.0, -0.14, 0.0, 0.0, 0.0, 1.0]	[-0.05, -0.01, 0.9]	[-0.05, -0.01, 0.88]	[-0.05, -0.01, 0.82]	[0.0, 0.0, -0.01]	[0.0, 0.0, -0.07]	[-0.0, 0.0, -0.06]
54	[-0.01, 0.0, -0.1, 0.0, 0.0, 0.0, 1.0]	[-0.05, -0.01, 0.89]	[-0.05, -0.01, 0.88]	[-0.05, -0.01, 0.82]	[0.0, 0.0, -0.01]	[0.0, 0.0, -0.07]	[-0.0, 0.0, -0.06]
55	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.05, -0.01, 0.89]	[-0.05, -0.01, 0.88]	[-0.05, -0.01, 0.82]	[0.0, 0.0, -0.01]	[0.0, 0.0, -0.07]	[0.0, 0.0, -0.06]
56	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.05, -0.01, 0.89]	[-0.05, -0.01, 0.88]	[-0.05, -0.01, 0.82]	[0.0, -0.0, -0.01]	[0.0, 0.0, -0.07]	[0.0, 0.0, -0.06]
57	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.05, -0.01, 0.89]	[-0.05, -0.01, 0.87]	[-0.05, -0.01, 0.82]	[0.0, -0.0, -0.02]	[0.0, 0.0, -0.07]	[0.0, 0.0, -0.04]
58	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.05, -0.01, 0.89]	[-0.05, -0.01, 0.87]	[-0.05, -0.01, 0.82]	[0.0, -0.0, -0.02]	[0.0, 0.0, -0.07]	[0.0, 0.0, -0.04]
59	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.05, -0.01, 0.91]	[-0.05, -0.01, 0.87]	[-0.05, -0.01, 0.82]	[0.0, -0.0, -0.04]	[0.01, 0.0, -0.08]	[0.0, 0.0, -0.04]
60	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.06, -0.01, 0.93]	[-0.05, -0.01, 0.87]	[-0.05, -0.01, 0.82]	[0.01, -0.0, -0.06]	[0.01, 0.0, -0.1]	[0.0, 0.0, -0.04]
61	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.06, -0.01, 0.95]	[-0.05, -0.01, 0.87]	[-0.05, -0.01, 0.82]	[0.01, -0.0, -0.08]	[0.01, 0.0, -0.12]	[0.0, 0.0, -0.04]
62	[0.0, 0.0, 1.0, 0.0, 0.0, 0.0, -1.0]	[-0.06, -0.01, 0.97]	[-0.05, -0.01, 0.87]	[-0.05, -0.01, 0.82]	[0.01, -0.0, -0.1]	[0.01, 0.0, -0.15]	[0.0, 0.0, -0.04]
63	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.06, -0.01, 0.98]	[-0.05, -0.01, 0.87]	[-0.05, -0.01, 0.82]	[0.01, -0.0, -0.11]	[0.01, 0.0, -0.15]	[0.0, 0.0, -0.04]
64	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.06, -0.01, 0.98]	[-0.05, -0.01, 0.87]	[-0.05, -0.01, 0.82]	[0.01, -0.0, -0.11]	[0.01, 0.0, -0.15]	[0.0, 0.0, -0.04]
65	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.06, -0.01, 0.98]	[-0.05, -0.01, 0.87]	[-0.05, -0.01, 0.82]	[0.01, -0.0, -0.11]	[0.01, 0.0, -0.15]	[0.0, 0.0, -0.04]
66	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.06, -0.01, 0.98]	[-0.05, -0.01, 0.87]	[-0.05, -0.01, 0.82]	[0.01, -0.0, -0.11]	[0.01, 0.0, -0.16]	[0.0, 0.0, -0.04]
67	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.06, -0.01, 0.98]	[-0.05, -0.01, 0.87]	[-0.05, -0.01, 0.82]	[0.01, -0.0, -0.11]	[0.01, 0.0, -0.16]	[0.0, 0.0, -0.04]
68	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.06, -0.01, 0.98]	[-0.05, -0.01, 0.87]	[-0.05, -0.01, 0.82]	[0.01, -0.0, -0.11]	[0.01, -0.0, -0.16]	[0.0, 0.0, -0.04]
69	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.06, -0.01, 0.98]	[-0.05, -0.01, 0.87]	[-0.05, -0.01, 0.82]	[0.01, -0.0, -0.11]	[0.01, -0.0, -0.16]	[0.0, 0.0, -0.04]
70	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.06, -0.01, 0.98]	[-0.05, -0.01, 0.87]	[-0.05, -0.01, 0.82]	[0.01, -0.0, -0.11]	[0.01, -0.0, -0.16]	[0.0, 0.0, -0.04]
71	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.06, -0.01, 0.98]	[-0.05, -0.01, 0.87]	[-0.05, -0.01, 0.82]	[0.01, -0.0, -0.11]	[0.01, -0.0, -0.16]	[0.0, 0.0, -0.04]
72	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.06, -0.01, 0.98]	[-0.05, -0.01, 0.87]	[-0.05, -0.01, 0.82]	[0.01, -0.0, -0.11]	[0.01, -0.0, -0.16]	[0.0, 0.0, -0.04]
73	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.06, -0.01, 0.98]	[-0.05, -0.01, 0.87]	[-0.05, -0.01, 0.82]	[0.01, -0.0, -0.11]	[0.01, -0.0, -0.16]	[0.0, 0.0, -0.04]
74	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.06, -0.01, 0.98]	[-0.05, -0.01, 0.87]	[-0.05, -0.01, 0.82]	[0.01, -0.0, -0.11]	[0.01, -0.0, -0.16]	[0.0, 0.0, -0.04]
75	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.06, -0.01, 0.98]	[-0.05, -0.01, 0.87]	[-0.05, -0.01, 0.82]	[0.01, -0.0, -0.11]	[0.01, -0.0, -0.16]	[0.0, 0.0, -0.04]
76	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.06, -0.01, 0.98]	[-0.05, -0.01, 0.87]	[-0.05, -0.01, 0.82]	[0.01, -0.0, -0.11]	[0.01, -0.0, -0.16]	[0.0, 0.0, -0.04]
77	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.06, -0.01, 0.98]	[-0.05, -0.01, 0.87]	[-0.05, -0.01, 0.82]	[0.01, -0.0, -0.11]	[0.01, -0.0, -0.16]	[0.0, 0.0, -0.04]
78	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.06, -0.01, 0.98]	[-0.05, -0.01, 0.87]	[-0.05, -0.01, 0.82]	[0.01, -0.0, -0.11]	[0.01, -0.0, -0.16]	[0.0, 0.0, -0.04]
79	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0]	[-0.05, -0.01, 0.98]	[-0.05, -0.01, 0.87]	[-0.05, -0.01, 0.82]	[0.01, -0.0, -0.11]	[0.01, -0.0, -0.16]	[0.0, 0.0, -0.04]
