step	robot0_eef_pos	door_pos	handle_pos	door_to_eef_pos	handle_to_eef_pos	action
35	[-0.12, -0.22, 0.97]	[-0.2, -0.33, 1.1]	[-0.09, -0.24, 0.99]	[-0.08, -0.11, 0.13]	[0.02, -0.03, 0.02]	[0.21, -0.06, -0.33, 0.0, 0.0, 0.0, -1.0]
36	[-0.11, -0.22, 0.96]	[-0.2, -0.33, 1.1]	[-0.09, -0.25, 0.98]	[-0.09, -0.11, 0.14]	[0.02, -0.03, 0.02]	[0.23, -0.07, -0.31, 0.0, 0.0, 0.0, -1.0]
37	[-0.11, -0.22, 0.95]	[-0.2, -0.33, 1.1]	[-0.08, -0.25, 0.97]	[-0.09, -0.11, 0.15]	[0.03, -0.03, 0.02]	[0.25, -0.07, -0.3, 0.0, 0.0, 0.0, -1.0]
38	[-0.1, -0.22, 0.95]	[-0.2, -0.33, 1.1]	[-0.07, -0.25, 0.97]	[-0.09, -0.11, 0.15]	[0.03, -0.03, 0.02]	[0.26, -0.07, -0.28, 0.0, 0.0, 0.0, -1.0]
39	[-0.1, -0.22, 0.94]	[-0.2, -0.33, 1.1]	[-0.07, -0.25, 0.97]	[-0.1, -0.11, 0.16]	[0.03, -0.03, 0.03]	[0.28, -0.08, -0.25, 0.0, 0.0, 0.0, -1.0]
40	[-0.09, -0.22, 0.93]	[-0.2, -0.33, 1.1]	[-0.06, -0.25, 0.96]	[-0.1, -0.11, 0.17]	[0.03, -0.03, 0.03]	[0.29, -0.08, -0.23, 0.0, 0.0, 0.0, -1.0]
41	[-0.09, -0.22, 0.93]	[-0.2, -0.33, 1.1]	[-0.06, -0.25, 0.96]	[-0.11, -0.1, 0.17]	[0.03, -0.03, 0.03]	[0.31, -0.08, -0.2, 0.0, 0.0, 0.0, -1.0]
42	[-0.08, -0.22, 0.92]	[-0.2, -0.33, 1.1]	[-0.05, -0.25, 0.96]	[-0.11, -0.1, 0.18]	[0.03, -0.03, 0.04]	[0.32, -0.08, -0.18, 0.0, 0.0, 0.0, -1.0]
43	[-0.08, -0.23, 0.92]	[-0.2, -0.33, 1.1]	[-0.05, -0.25, 0.96]	[-0.12, -0.1, 0.18]	[0.03, -0.03, 0.04]	[0.32, -0.08, -0.15, 0.0, 0.0, 0.0, -1.0]
44	[-0.07, -0.23, 0.92]	[-0.2, -0.33, 1.1]	[-0.04, -0.25, 0.95]	[-0.12, -0.1, 0.18]	[0.03, -0.03, 0.04]	[0.33, -0.08, -0.13, 0.0, 0.0, 0.0, -1.0]
45	[-0.07, -0.23, 0.91]	[-0.2, -0.33, 1.1]	[-0.04, -0.26, 0.95]	[-0.13, -0.1, 0.19]	[0.03, -0.03, 0.04]	[0.33, -0.08, -0.1, 0.0, 0.0, 0.0, -1.0]
46	[-0.07, -0.22, 0.92]	[-0.2, -0.32, 1.1]	[-0.04, -0.25, 0.95]	[-0.13, -0.11, 0.18]	[0.03, -0.03, 0.04]	[0.33, 0.72, 0.41, 0.0, 0.0, 0.0, -1.0]
47	[-0.07, -0.2, 0.92]	[-0.19, -0.32, 1.1]	[-0.04, -0.24, 0.95]	[-0.12, -0.11, 0.18]	[0.03, -0.03, 0.04]	[0.32, 0.69, 0.38, 0.0, 0.0, 0.0, -1.0]
48	[-0.07, -0.19, 0.92]	[-0.19, -0.31, 1.1]	[-0.04, -0.22, 0.95]	[-0.12, -0.12, 0.18]	[0.03, -0.03, 0.04]	[0.32, 0.68, 0.36, 0.0, 0.0, 0.0, -1.0]
49	[-0.08, -0.18, 0.92]	[-0.19, -0.3, 1.1]	[-0.05, -0.21, 0.95]	[-0.11, -0.12, 0.18]	[0.03, -0.03, 0.03]	[0.32, 0.69, 0.35, 0.0, 0.0, 0.0, -1.0]
50	[-0.08, -0.16, 0.92]	[-0.19, -0.29, 1.1]	[-0.05, -0.19, 0.96]	[-0.11, -0.13, 0.18]	[0.03, -0.03, 0.03]	[0.31, 0.7, 0.35, 0.0, 0.0, 0.0, -1.0]
51	[-0.09, -0.15, 0.92]	[-0.19, -0.28, 1.1]	[-0.06, -0.17, 0.96]	[-0.11, -0.13, 0.18]	[0.03, -0.03, 0.03]	[0.31, 0.71, 0.34, 0.0, 0.0, 0.0, -1.0]
52	[-0.09, -0.13, 0.92]	[-0.19, -0.27, 1.1]	[-0.06, -0.16, 0.96]	[-0.1, -0.14, 0.18]	[0.03, -0.03, 0.03]	[0.31, 0.72, 0.33, 0.0, 0.0, 0.0, -1.0]
53	[-0.09, -0.12, 0.92]	[-0.19, -0.26, 1.1]	[-0.06, -0.15, 0.96]	[-0.1, -0.14, 0.18]	[0.03, -0.03, 0.03]	[0.31, 0.71, 0.32, 0.0, 0.0, 0.0, -1.0]
54	[-0.1, -0.1, 0.93]	[-0.19, -0.25, 1.1]	[-0.07, -0.14, 0.95]	[-0.1, -0.15, 0.17]	[0.03, -0.03, 0.03]	[0.31, 0.7, 0.31, 0.0, 0.0, 0.0, -1.0]
55	[-0.1, -0.09, 0.93]	[-0.2, -0.24, 1.1]	[-0.07, -0.12, 0.95]	[-0.09, -0.15, 0.17]	[0.03, -0.03, 0.03]	[0.31, 0.7, 0.3, 0.0, 0.0, 0.0, -1.0]
56	[-0.11, -0.08, 0.93]	[-0.2, -0.24, 1.1]	[-0.08, -0.11, 0.95]	[-0.09, -0.16, 0.17]	[0.03, -0.03, 0.03]	[0.31, 0.69, 0.29, 0.0, 0.0, 0.0, -1.0]
57	[-0.11, -0.07, 0.93]	[-0.2, -0.23, 1.1]	[-0.08, -0.1, 0.95]	[-0.09, -0.16, 0.17]	[0.03, -0.03, 0.03]	[0.31, 0.68, 0.28, 0.0, 0.0, 0.0, -1.0]
58	[-0.11, -0.06, 0.93]	[-0.2, -0.23, 1.1]	[-0.08, -0.1, 0.95]	[-0.09, -0.17, 0.17]	[0.03, -0.04, 0.03]	[0.31, 0.68, 0.27, 0.0, 0.0, 0.0, -1.0]
59	[-0.11, -0.05, 0.93]	[-0.2, -0.23, 1.1]	[-0.08, -0.1, 0.95]	[-0.08, -0.18, 0.17]	[0.03, -0.05, 0.02]	[0.32, 0.63, 0.26, 0.0, 0.0, 0.0, -1.0]
60	[-0.11, -0.04, 0.93]	[-0.2, -0.23, 1.1]	[-0.08, -0.1, 0.95]	[-0.08, -0.18, 0.17]	[0.04, -0.05, 0.02]	[0.34, 0.54, 0.24, 0.0, 0.0, 0.0, -1.0]
61	[-0.11, -0.04, 0.93]	[-0.2, -0.23, 1.1]	[-0.08, -0.1, 0.95]	[-0.09, -0.19, 0.17]	[0.03, -0.06, 0.02]	[0.35, 0.47, 0.23, 0.0, 0.0, 0.0, -1.0]
62	[-0.11, -0.03, 0.93]	[-0.2, -0.23, 1.1]	[-0.08, -0.1, 0.95]	[-0.09, -0.2, 0.17]	[0.03, -0.07, 0.02]	[0.35, 0.39, 0.21, 0.0, 0.0, 0.0, -1.0]
63	[-0.11, -0.02, 0.94]	[-0.2, -0.23, 1.1]	[-0.08, -0.1, 0.95]	[-0.09, -0.21, 0.16]	[0.03, -0.08, 0.02]	[0.32, 0.31, 0.2, 0.0, 0.0, 0.0, -1.0]
64	[-0.11, -0.02, 0.94]	[-0.2, -0.23, 1.1]	[-0.08, -0.1, 0.95]	[-0.09, -0.21, 0.16]	[0.03, -0.08, 0.02]	[0.27, 0.22, 0.19, 0.0, 0.0, 0.0, -1.0]
65	[-0.11, -0.01, 0.94]	[-0.2, -0.23, 1.1]	[-0.08, -0.1, 0.95]	[-0.09, -0.22, 0.16]	[0.02, -0.09, 0.01]	[0.26, 0.17, 0.17, 0.0, 0.0, 0.0, -1.0]
66	[-0.1, -0.01, 0.94]	[-0.2, -0.23, 1.1]	[-0.08, -0.1, 0.95]	[-0.09, -0.22, 0.16]	[0.02, -0.09, 0.01]	[0.25, 0.13, 0.15, 0.0, 0.0, 0.0, -1.0]
67	[-0.1, -0.0, 0.94]	[-0.2, -0.23, 1.1]	[-0.08, -0.1, 0.95]	[-0.1, -0.22, 0.16]	[0.02, -0.09, 0.01]	[0.24, 0.09, 0.13, 0.0, 0.0, 0.0, -1.0]
68	[-0.1, -0.0, 0.94]	[-0.2, -0.23, 1.1]	[-0.08, -0.1, 0.95]	[-0.1, -0.22, 0.16]	[0.02, -0.1, 0.01]	[0.24, 0.06, 0.12, 0.0, 0.0, 0.0, -1.0]
69	[-0.1, -0.0, 0.94]	[-0.2, -0.23, 1.1]	[-0.08, -0.1, 0.95]	[-0.1, -0.23, 0.16]	[0.02, -0.1, 0.01]	[0.23, 0.05, 0.11, 0.0, 0.0, 0.0, -1.0]
70	[-0.1, -0.0, 0.94]	[-0.2, -0.23, 1.1]	[-0.08, -0.1, 0.95]	[-0.1, -0.23, 0.16]	[0.02, -0.1, 0.01]	[0.23, 0.04, 0.11, 0.0, 0.0, 0.0, -1.0]
71	[-0.1, -0.0, 0.94]	[-0.2, -0.23, 1.1]	[-0.08, -0.1, 0.95]	[-0.1, -0.23, 0.16]	[0.02, -0.1, 0.01]	[0.23, 0.03, 0.11, 0.0, 0.0, 0.0, -1.0]
72	[-0.1, -0.0, 0.94]	[-0.2, -0.23, 1.1]	[-0.08, -0.1, 0.95]	[-0.1, -0.23, 0.16]	[0.02, -0.1, 0.01]	[0.23, 0.03, 0.11, 0.0, 0.0, 0.0, -1.0]
73	[-0.1, -0.0, 0.94]	[-0.2, -0.23, 1.1]	[-0.08, -0.1, 0.95]	[-0.1, -0.23, 0.16]	[0.02, -0.1, 0.01]	[0.23, 0.03, 0.11, 0.0, 0.0, 0.0, -1.0]
74	[-0.1, -0.0, 0.94]	[-0.2, -0.23, 1.1]	[-0.08, -0.1, 0.95]	[-0.1, -0.23, 0.16]	[0.02, -0.1, 0.01]	[0.24, 0.03, 0.11, 0.0, 0.0, 0.0, -1.0]
